sourceCode,nameTh,nameEn
01601,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง วิทยาเขตชุมพรเขตอุดมศักดิ์,"King Mongkut's Institute of Technology Ladkrabang — Campus, Chumphon (01601)"
01700,มหาวิทยาลัยเทคโนโลยีสุรนารี,Suranaree University of Technology
01800,มหาวิทยาลัยอุบลราชธานี,Ubon Ratchathani University
01802,มหาวิทยาลัยอุบลราชธานี วิทยาเขตมุกดาหาร,"Ubon Ratchathani University — Campus, Mukdahan (01802)"
01900,มหาวิทยาลัยบูรพา,Burapha University
01901,มหาวิทยาลัยบูรพา วิทยาเขตสารสนเทศจันทบุรี,"Burapha University — Campus, Chanthaburi (01901)"
01902,มหาวิทยาลัยบูรพา วิทยาเขตสารสนเทศสระแก้ว,"Burapha University — Campus, Sa Kaeo (01902)"
02000,มหาวิทยาลัยนเรศวร,Naresuan University
02100,มหาวิทยาลัยมหาสารคาม,Mahasarakham University
02200,มหาวิทยาลัยทักษิณ,Thaksin University
02201,มหาวิทยาลัยทักษิณ วิทยาเขตพัทลุง,"Thaksin University — Campus, Phatthalung (02201)"
02202,มหาวิทยาลัยทักษิณ วิทยาเขตสงขลา,"Thaksin University — Campus, Songkhla (02202)"
02300,มหาวิทยาลัยวลัยลักษณ์,Walailak University
02400,มหาวิทยาลัยแม่ฟ้าหลวง,Mae Fah Luang University
02500,มหาวิทยาลัยนราธิวาสราชนครินทร์,Princess of Naradhiwas University
02600,มหาวิทยาลัยนครพนม,Nakhon Phanom University
02700,มหาวิทยาลัยพะเยา,University of Phayao
05100,มหาวิทยาลัยกรุงเทพ,Bangkok University
05101,มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต,"Bangkok University — Campus, Pathum Thani (05101)"
05300,มหาวิทยาลัยพายัพ,Payap University
05400,มหาวิทยาลัยศรีปทุม,Sripatum University
05401,มหาวิทยาลัยศรีปทุม วิทยาเขตชลบุรี,"Sripatum University — Campus, Chon Buri (05401)"
05402,มหาวิทยาลัยศรีปทุม วิทยาเขตขอนแก่น,"Sripatum University — Campus, Khon Kaen (05402)"
05600,มหาวิทยาลัยหอการค้าไทย,University of the Thai Chamber of Commerce
05700,มหาวิทยาลัยเกริก,Krirk University
05900,มหาวิทยาลัยคริสเตียน,Christian University of Thailand
06000,มหาวิทยาลัยเซนต์จอห์น,Saint John's University
06100,มหาวิทยาลัยเทคโนโลยีมหานคร,Mahanakorn University of Technology
06800,มหาวิทยาลัยรังสิต,Rangsit University
07300,มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ,Huachiew Chalermprakiet University
07400,มหาวิทยาลัยอัสสัมชัญ,Assumption University of Thailand
07401,มหาวิทยาลัยอัสสัมชัญ วิทยาเขตสุวรรณภูมิ,"Assumption University of Thailand — Campus, Samut Prakan (07401)"
08300,มหาวิทยาลัยราชธานี,Ratchathani University
08301,มหาวิทยาลัยราชธานี วิทยาเขตอุดรธานี,"Ratchathani University — Campus, Udon Thani (08301)"
09000,มหาวิทยาลัยธนบุรี,Thonburi University
09001,มหาวิทยาลัยธนบุรี วิทยาเขตภาคเหนือ จังหวัดลำพูน,"Thonburi University — Campus, Lamphun (09001)"
10000,มหาวิทยาลัยเจ้าพระยา,Chaopraya University
10100,มหาวิทยาลัยชินวัตร,Shinawatra University
10200,มหาวิทยาลัยเวสเทิร์น,Western University
10201,มหาวิทยาลัยเวสเทิร์น วัชรพล,"Western University — Campus, Pathum Thani (10201)"
10202,มหาวิทยาลัยเวสเทิร์น บุรีรัมย์,"Western University — Campus, Buriram (10202)"
10203,มหาวิทยาลัยเวสเทิร์น กาญจนบุรี,"Western University — Campus, Kanchanaburi (10203)"
10300,มหาวิทยาลัยธุรกิจบัณฑิตย์,Dhurakij Pundit University
10400,มหาวิทยาลัยภาคตะวันออกเฉียงเหนือ,Northeastern University
10500,มหาวิทยาลัยฟาร์อีสเทอร์น,The Far Eastern University
10600,มหาวิทยาลัยภาคกลาง,The University of Central Thailand
10700,มหาวิทยาลัยวงษ์ชวลิตกุล,Vongchavalitkul University
11000,วิทยาลัยสันตพล,Santapol College
11100,มหาวิทยาลัยเอเชียอาคเนย์,South-East Asia University
11200,มหาวิทยาลัยอีสเทิร์นเอเชีย,Eastern Asia University
11300,มหาวิทยาลัยกรุงเทพธนบุรี,Bangkok Thonburi University
11400,มหาวิทยาลัยนานาชาติเซนต์เทเรซา,St Theresa International University
11500,วิทยาลัยเซนต์หลุยส์,Saint Louis College
11600,มหาวิทยาลัยเซาธ์อีสท์บางกอก,Southeast Bangkok University
11700,วิทยาลัยดุสิตธานี,Dusit Thani College
11701,วิทยาลัยดุสิตธานี ศูนย์การศึกษาเมืองพัทยา,"Dusit Thani College — Education Center, Chon Buri (11701)"
11800,มหาวิทยาลัยตาปี,Tapee University
11900,วิทยาลัยทองสุข,Thongsook College
12000,วิทยาลัยเทคโนโลยีภาคใต้,Southern College of Technology
12200,มหาวิทยาลัยนอร์ทกรุงเทพ,North Bangkok University
12300,มหาวิทยาลัยนอร์ท-เชียงใหม่,North-Chiang Mai University
12400,มหาวิทยาลัยนานาชาติแสตมฟอร์ด,Stamford International University
12600,วิทยาลัยบัณฑิตเอเชีย,College of Asian Scholars
12700,มหาวิทยาลัยปทุมธานี,Pathumthani University
12800,มหาวิทยาลัยการจัดการและเทคโนโลยีอีสเทิร์น,The Eastern University of Management and Technology
12900,มหาวิทยาลัยนานาชาติเอเชีย-แปซิฟิก,Asia-Pacific International University
12901,มหาวิทยาลัยนานาชาติเอเชีย-แปซิฟิก วิทยาเขตกรุงเทพฯ,"Asia-Pacific International University — Campus, Bangkok (12901)"
13000,มหาวิทยาลัยหาดใหญ่,Hatyai University
13100,มหาวิทยาลัยเนชั่น,Nation University
13200,สถาบันรัชต์ภาคย์,Rajapark Institute
13201,สถาบันรัชต์ภาคย์ วิทยาเขตยะลา,"Rajapark Institute — Campus, Yala (13201)"
13300,มหาวิทยาลัยรัตนบัณฑิต,Rattana Bundit University
13301,มหาวิทยาลัยรัตนบัณฑิต วิทยาเขตปทุมธานี,"Rattana Bundit University — Campus, Pathum Thani (13301)"
13400,วิทยาลัยนอร์ทเทิร์น,Northern College
13600,วิทยาลัยแสงธรรม,Saengtham College
13601,วิทยาลัยแสงธรรม วิทยาเขตเซเวียร์,"Saengtham College — Campus, Chiang Rai (13601)"
13700,มหาวิทยาลัยฟาฏอนี,Fatoni University
13900,มหาวิทยาลัยราชภัฏกาญจนบุรี,Kanchanaburi Rajabhat University
14000,มหาวิทยาลัยกาฬสินธุ์,Kalasin University
14100,มหาวิทยาลัยราชภัฏกำแพงเพชร,Kamphaeng Phet Rajabhat University
14200,มหาวิทยาลัยราชภัฏชัยภูมิ,Chaiyaphum Rajabhat University
14300,มหาวิทยาลัยราชภัฏเชียงราย,Chiang Rai Rajabhat University
14400,มหาวิทยาลัยราชภัฏเชียงใหม่,Chiang Mai Rajabhat University
14401,มหาวิทยาลัยราชภัฏเชียงใหม่ วิทยาเขตแม่ฮ่องสอน,"Chiang Mai Rajabhat University — Campus, Mae Hong Son (14401)"
14500,มหาวิทยาลัยราชภัฏเทพสตรี,Thepsatri Rajabhat University
14600,มหาวิทยาลัยราชภัฏธนบุรี,Dhonburi Rajabhat University
14700,มหาวิทยาลัยราชภัฏนครปฐม,Nakhon Pathom Rajabhat University
14800,มหาวิทยาลัยราชภัฏนครราชสีมา,Nakhon Ratchasima Rajabhat University
14900,มหาวิทยาลัยราชภัฏนครศรีธรรมราช,Nakhon Si Thammarat Rajabhat University
15000,มหาวิทยาลัยราชภัฏพระนคร,Phranakhon Rajabhat University
15100,มหาวิทยาลัยราชภัฏพระนครศรีอยุธยา,Phranakhon Si Ayutthaya Rajabhat University
15200,มหาวิทยาลัยราชภัฏพิบูลสงคราม,Pibulsongkram Rajabhat University
15300,มหาวิทยาลัยราชภัฏวไลยอลงกรณ์ ในพระบรมราชูปถัมภ์,Valaya Alongkorn Rajabhat University under the Royal Patronage
15400,มหาวิทยาลัยราชภัฏเพชรบูรณ์,Phetchabun Rajabhat University
15500,มหาวิทยาลัยราชภัฏภูเก็ต,Phuket Rajabhat University
15600,มหาวิทยาลัยราชภัฏมหาสารคาม,Rajabhat Maha Sarakham University
15700,มหาวิทยาลัยราชภัฏยะลา,Yala Rajabhat University
15800,มหาวิทยาลัยราชภัฏร้อยเอ็ด,Roi Et Rajabhat University
15900,มหาวิทยาลัยราชภัฏราชนครินทร์,Rajabhat Rajanagarindra University
16000,มหาวิทยาลัยราชภัฏรำไพพรรณี,Rambhai Barni Rajabhat University
16100,มหาวิทยาลัยราชภัฏลำปาง,Lampang Rajabhat University
16200,มหาวิทยาลัยราชภัฏเลย,Loei Rajabhat University
16300,มหาวิทยาลัยราชภัฏศรีสะเกษ,Sisaket Rajabhat University
16400,มหาวิทยาลัยราชภัฏสงขลา,Songkhla Rajabhat University
16401,มหาวิทยาลัยราชภัฏสงขลา วิทยาเขตสตูล,"Songkhla Rajabhat University — Campus, Satun (16401)"
16500,มหาวิทยาลัยสวนดุสิต,Suan Dusit University
16501,มหาวิทยาลัยสวนดุสิต วิทยาเขตสุพรรณบุรี,"Suan Dusit University — Campus, Suphan Buri (16501)"
16502,มหาวิทยาลัยสวนดุสิต ศูนย์การศึกษา ลำปาง,"Suan Dusit University — Education Center, Lampang (16502)"
16503,มหาวิทยาลัยสวนดุสิต ศูนย์การศึกษา นครนายก,"Suan Dusit University — Education Center, Nakhon Nayok (16503)"
16504,มหาวิทยาลัยสวนดุสิต ศูนย์การศึกษา ตรัง,"Suan Dusit University — Education Center, Trang (16504)"
16505,มหาวิทยาลัยสวนดุสิต ศูนย์การศึกษา หัวหิน,"Suan Dusit University — Education Center, Prachuap Khiri Khan (16505)"
16600,มหาวิทยาลัยราชภัฏสวนสุนันทา,Suan Sunandha Rajabhat University
16601,มหาวิทยาลัยราชภัฏสวนสุนันทา วิทยาเขตนครปฐม,"Suan Sunandha Rajabhat University — Campus, Nakhon Pathom (16601)"
16602,มหาวิทยาลัยราชภัฏสวนสุนันทา วิทยาเขตสมุทรสงคราม,"Suan Sunandha Rajabhat University — Campus, Samut Songkhram (16602)"
16603,มหาวิทยาลัยราชภัฏสวนสุนันทา ศูนย์การศึกษาจังหวัดระนอง,"Suan Sunandha Rajabhat University — Education Center, Ranong (16603)"
16604,มหาวิทยาลัยราชภัฏสวนสุนันทา ศูนย์การศึกษาจังหวัดอุดรธานี,"Suan Sunandha Rajabhat University — Education Center, Udon Thani (16604)"
16700,มหาวิทยาลัยราชภัฏสุรินทร์,Surindra Rajabhat University
16800,มหาวิทยาลัยราชภัฏหมู่บ้านจอมบึง,Muban Chombueng Rajabhat University
16900,มหาวิทยาลัยราชภัฏอุดรธานี,Udon Thani Rajabhat University
16901,มหาวิทยาลัยราชภัฏอุดรธานี ศูนย์การศึกษาบึงกาฬ,"Udon Thani Rajabhat University — Education Center, Bueng Kan (16901)"
17000,มหาวิทยาลัยราชภัฏอุตรดิตถ์,Uttaradit Rajabhat University
17100,มหาวิทยาลัยราชภัฏอุบลราชธานี,Ubon Ratchathani Rajabhat University
17200,มหาวิทยาลัยราชภัฏนครสวรรค์,Nakhon Sawan Rajabhat University
17300,มหาวิทยาลัยราชภัฏสุราษฏร์ธานี,Suratthani Rajabhat University
17400,มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,Bansomdejchaopraya Rajabhat University
17500,มหาวิทยาลัยราชภัฏสกลนคร,Sakon Nakhon Rajabhat University
17600,มหาวิทยาลัยราชภัฏบุรีรัมย์,Buriram Rajabhat University
17700,มหาวิทยาลัยราชภัฏจันทรเกษม,Chandrakasem Rajabhat University
17900,มหาวิทยาลัยราชภัฏเพชรบุรี,Phetchaburi Rajabhat University
18000,มหาวิทยาลัยเกษมบัณฑิต,Kasem Bundit University
18001,มหาวิทยาลัยเกษมบัณฑิต พัฒนาการ,"Kasem Bundit University — Campus, Bangkok (18001)"
18100,มหาวิทยาลัยสยาม,Siam University
18200,วิทยาลัยเชียงราย,Chiangrai College
18300,มหาวิทยาลัยพิษณุโลก,Phitsanulok University
18400,วิทยาลัยพุทธศาสนานานาชาติ,International Buddhist College
18500,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย,Mahachulalongkornrajavidyalaya University
18501,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาเขตหนองคาย,"Mahachulalongkornrajavidyalaya University — Campus, Nong Khai (18501)"
18502,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาเขตนครศรีธรรมราช,"Mahachulalongkornrajavidyalaya University — Campus, Nakhon Si Thammarat (18502)"
18503,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาเขตเชียงใหม่,"Mahachulalongkornrajavidyalaya University — Campus, Chiang Mai (18503)"
18504,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาเขตขอนแก่น,"Mahachulalongkornrajavidyalaya University — Campus, Khon Kaen (18504)"
18505,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาเขตนครราชสีมา,"Mahachulalongkornrajavidyalaya University — Campus, Nakhon Ratchasima (18505)"
18506,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาเขตอุบลราชธานี,"Mahachulalongkornrajavidyalaya University — Campus, Ubon Ratchathani (18506)"
18507,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาเขตแพร่,"Mahachulalongkornrajavidyalaya University — Campus, Phrae (18507)"
